LatestWorkload: start initializing zipfian variables, might take a while
Latest (epoch 38, progress 8.25%): UPDATE throughput 0.00 ops/sec, INSERT throughput 7171.30 ops/sec, READ throughput 136605.61 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 143776.91 ops/sec
Latest (epoch 39, progress 8.46%): UPDATE throughput 0.00 ops/sec, INSERT throughput 8519.85 ops/sec, READ throughput 161069.26 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 169589.11 ops/sec
Latest (epoch 40, progress 8.64%): UPDATE throughput 0.00 ops/sec, INSERT throughput 7041.28 ops/sec, READ throughput 136355.09 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 143396.37 ops/sec
Latest (epoch 41, progress 8.84%): UPDATE throughput 0.00 ops/sec, INSERT throughput 8011.23 ops/sec, READ throughput 153444.27 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 161455.50 ops/sec
Latest (epoch 42, progress 9.05%): UPDATE throughput 0.00 ops/sec, INSERT throughput 8141.18 ops/sec, READ throughput 156326.21 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 164467.39 ops/sec
Latest (epoch 43, progress 9.26%): UPDATE throughput 0.00 ops/sec, INSERT throughput 8426.13 ops/sec, READ throughput 158721.65 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 167147.78 ops/sec
Latest (epoch 44, progress 9.45%): UPDATE throughput 0.00 ops/sec, INSERT throughput 7801.83 ops/sec, READ throughput 147980.80 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 155782.63 ops/sec
Latest (epoch 45, progress 9.63%): UPDATE throughput 0.00 ops/sec, INSERT throughput 7292.24 ops/sec, READ throughput 140145.42 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 147437.67 ops/sec
Latest (epoch 46, progress 9.83%): UPDATE throughput 0.00 ops/sec, INSERT throughput 7673.24 ops/sec, READ throughput 147144.43 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 154817.67 ops/sec
Latest (epoch 47, progress 10.01%): UPDATE throughput 0.00 ops/sec, INSERT throughput 7304.26 ops/sec, READ throughput 140701.79 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 148006.05 ops/sec
Latest (epoch 48, progress 10.23%): UPDATE throughput 0.00 ops/sec, INSERT throughput 8624.76 ops/sec, READ throughput 162445.61 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 171070.37 ops/sec
Latest (epoch 49, progress 10.40%): UPDATE throughput 0.00 ops/sec, INSERT throughput 7175.16 ops/sec, READ throughput 135468.15 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 142643.31 ops/sec
Latest (epoch 50, progress 10.61%): UPDATE throughput 0.00 ops/sec, INSERT throughput 8567.95 ops/sec, READ throughput 159294.41 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 167862.35 ops/sec
Latest (epoch 51, progress 10.76%): UPDATE throughput 0.00 ops/sec, INSERT throughput 6021.25 ops/sec, READ throughput 113390.83 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 119412.07 ops/sec
Latest (epoch 52, progress 10.97%): UPDATE throughput 0.00 ops/sec, INSERT throughput 8153.27 ops/sec, READ throughput 155447.17 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 163600.44 ops/sec
Latest (epoch 53, progress 11.14%): UPDATE throughput 0.00 ops/sec, INSERT throughput 6728.23 ops/sec, READ throughput 127796.30 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 134524.53 ops/sec
Latest (epoch 54, progress 11.33%): UPDATE throughput 0.00 ops/sec, INSERT throughput 7616.27 ops/sec, READ throughput 147674.82 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 155291.09 ops/sec
Latest (epoch 55, progress 11.50%): UPDATE throughput 0.00 ops/sec, INSERT throughput 6774.29 ops/sec, READ throughput 127769.58 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 134543.87 ops/sec
Latest (epoch 56, progress 11.65%): UPDATE throughput 0.00 ops/sec, INSERT throughput 5873.36 ops/sec, READ throughput 111234.88 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 117108.24 ops/sec
Latest (epoch 57, progress 11.84%): UPDATE throughput 0.00 ops/sec, INSERT throughput 7888.89 ops/sec, READ throughput 148262.10 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 156150.98 ops/sec
Latest (epoch 58, progress 12.01%): UPDATE throughput 0.00 ops/sec, INSERT throughput 6767.33 ops/sec, READ throughput 127925.34 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 134692.67 ops/sec
