Uniform (epoch 34, progress 0.01%): UPDATE throughput 0.00 ops/sec, INSERT throughput 90.99 ops/sec, READ throughput 113.98 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 204.97 ops/sec
Uniform (epoch 35, progress 0.01%): UPDATE throughput 0.00 ops/sec, INSERT throughput 104.98 ops/sec, READ throughput 98.99 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 203.97 ops/sec
Uniform (epoch 36, progress 0.01%): UPDATE throughput 0.00 ops/sec, INSERT throughput 94.99 ops/sec, READ throughput 102.99 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 197.97 ops/sec
Uniform (epoch 37, progress 0.02%): UPDATE throughput 0.00 ops/sec, INSERT throughput 128.98 ops/sec, READ throughput 116.98 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 245.97 ops/sec
Uniform (epoch 38, progress 0.02%): UPDATE throughput 0.00 ops/sec, INSERT throughput 100.99 ops/sec, READ throughput 116.98 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 217.97 ops/sec
Uniform (epoch 39, progress 0.02%): UPDATE throughput 0.00 ops/sec, INSERT throughput 90.99 ops/sec, READ throughput 95.99 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 186.97 ops/sec
Uniform (epoch 40, progress 0.02%): UPDATE throughput 0.00 ops/sec, INSERT throughput 103.99 ops/sec, READ throughput 106.98 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 210.97 ops/sec
Uniform (epoch 41, progress 0.02%): UPDATE throughput 0.00 ops/sec, INSERT throughput 111.98 ops/sec, READ throughput 104.99 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 216.97 ops/sec
Uniform (epoch 42, progress 0.02%): UPDATE throughput 0.00 ops/sec, INSERT throughput 98.99 ops/sec, READ throughput 117.98 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 216.97 ops/sec
Uniform (epoch 43, progress 0.02%): UPDATE throughput 0.00 ops/sec, INSERT throughput 162.98 ops/sec, READ throughput 116.99 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 279.97 ops/sec
Uniform (epoch 44, progress 0.02%): UPDATE throughput 0.00 ops/sec, INSERT throughput 114.98 ops/sec, READ throughput 116.98 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 231.97 ops/sec
Uniform (epoch 45, progress 0.02%): UPDATE throughput 0.00 ops/sec, INSERT throughput 97.99 ops/sec, READ throughput 106.98 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 204.97 ops/sec
Uniform (epoch 46, progress 0.02%): UPDATE throughput 0.00 ops/sec, INSERT throughput 111.98 ops/sec, READ throughput 115.98 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 227.97 ops/sec
Uniform (epoch 47, progress 0.02%): UPDATE throughput 0.00 ops/sec, INSERT throughput 96.99 ops/sec, READ throughput 99.99 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 196.97 ops/sec
Uniform (epoch 48, progress 0.02%): UPDATE throughput 0.00 ops/sec, INSERT throughput 122.98 ops/sec, READ throughput 119.98 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 242.97 ops/sec
Uniform (epoch 49, progress 0.02%): UPDATE throughput 0.00 ops/sec, INSERT throughput 139.98 ops/sec, READ throughput 114.98 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 254.96 ops/sec
Uniform (epoch 50, progress 0.02%): UPDATE throughput 0.00 ops/sec, INSERT throughput 101.99 ops/sec, READ throughput 105.99 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 207.97 ops/sec
Uniform (epoch 51, progress 0.02%): UPDATE throughput 0.00 ops/sec, INSERT throughput 96.99 ops/sec, READ throughput 117.98 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 214.97 ops/sec
Uniform (epoch 52, progress 0.02%): UPDATE throughput 0.00 ops/sec, INSERT throughput 131.98 ops/sec, READ throughput 102.99 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 234.97 ops/sec
Uniform (epoch 53, progress 0.02%): UPDATE throughput 0.00 ops/sec, INSERT throughput 102.99 ops/sec, READ throughput 114.98 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 217.97 ops/sec
Uniform (epoch 54, progress 0.02%): UPDATE throughput 0.00 ops/sec, INSERT throughput 82.99 ops/sec, READ throughput 107.99 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 190.97 ops/sec
Uniform (epoch 55, progress 0.02%): UPDATE throughput 0.00 ops/sec, INSERT throughput 115.98 ops/sec, READ throughput 117.98 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 233.97 ops/sec
Uniform (epoch 56, progress 0.02%): UPDATE throughput 0.00 ops/sec, INSERT throughput 120.98 ops/sec, READ throughput 110.98 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 231.97 ops/sec
Uniform (epoch 57, progress 0.02%): UPDATE throughput 0.00 ops/sec, INSERT throughput 84.99 ops/sec, READ throughput 108.98 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 193.97 ops/sec
Uniform (epoch 58, progress 0.02%): UPDATE throughput 0.00 ops/sec, INSERT throughput 102.98 ops/sec, READ throughput 120.98 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 223.97 ops/sec
Uniform (epoch 59, progress 0.02%): UPDATE throughput 0.00 ops/sec, INSERT throughput 126.99 ops/sec, READ throughput 108.99 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 235.98 ops/sec
Uniform (epoch 60, progress 0.02%): UPDATE throughput 0.00 ops/sec, INSERT throughput 122.99 ops/sec, READ throughput 111.99 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 234.97 ops/sec
Uniform (epoch 61, progress 0.02%): UPDATE throughput 0.00 ops/sec, INSERT throughput 94.99 ops/sec, READ throughput 104.98 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 199.97 ops/sec
Uniform (epoch 62, progress 0.02%): UPDATE throughput 0.00 ops/sec, INSERT throughput 83.99 ops/sec, READ throughput 108.98 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 192.97 ops/sec
Uniform (epoch 63, progress 0.02%): UPDATE throughput 0.00 ops/sec, INSERT throughput 151.98 ops/sec, READ throughput 111.98 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 263.96 ops/sec
Uniform (epoch 64, progress 0.02%): UPDATE throughput 0.00 ops/sec, INSERT throughput 126.98 ops/sec, READ throughput 103.98 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 230.96 ops/sec
Uniform (epoch 65, progress 0.02%): UPDATE throughput 0.00 ops/sec, INSERT throughput 138.98 ops/sec, READ throughput 112.98 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 251.96 ops/sec
Uniform (epoch 66, progress 0.02%): UPDATE throughput 0.00 ops/sec, INSERT throughput 116.98 ops/sec, READ throughput 112.98 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 229.97 ops/sec
Uniform (epoch 67, progress 0.02%): UPDATE throughput 0.00 ops/sec, INSERT throughput 116.98 ops/sec, READ throughput 100.99 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 217.97 ops/sec
Uniform (epoch 68, progress 0.02%): UPDATE throughput 0.00 ops/sec, INSERT throughput 102.98 ops/sec, READ throughput 112.98 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 215.97 ops/sec
Uniform (epoch 69, progress 0.02%): UPDATE throughput 0.00 ops/sec, INSERT throughput 118.99 ops/sec, READ throughput 126.99 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 245.97 ops/sec
